"pdfPage","exactOcrText","fuzzyCandidates","currentBundledRepresentation","currentFirestoreRepresentation","printedDistrictMapping","confidence","reasonAmbiguous","suggestedResolution","reviewStatus"
"15","31entevei Bispebiera","Glentevej | Grevingevej | Hagestedvej","","not captured per candidate in completed read-only audit","Bispebjerg","0.667","audit status: rule_or_exception; possible range/parity/postcode text; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"15",")lumsøvej I Brønshøj/Husum","Glumsøvej | Plumsvej | Gaunøvej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.667","audit status: rule_or_exception; possible range/parity/postcode text; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"16",";udenåvej I Vanløse","Beatevej | Arsenalvej | Beldingvej","","not captured per candidate in completed read-only audit","Vanløse","0.706","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"16","3årdtoftevei I Brønshøi/Husum","Gårdtoftevej | Sparteloftevej | Takkeltoftevej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.833","audit status: rule_or_exception; possible range/parity/postcode text; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"16","3åseaade I Indre By","Gåsegade | Laks egade | Faksegade","","not captured per candidate in completed read-only audit","Indre By","0.750","audit status: rule_or_exception; possible range/parity/postcode text; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"16","3åsestien I Brønshøi/Husum","Gåsestien | Svanestien | Andestien","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.889","audit status: rule_or_exception; possible range/parity/postcode text","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"16","3åseurtvei I Brønshøi/Husum","Gåseurtvej | Pasteursvej | Mastekursvej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.800","audit status: rule_or_exception; possible range/parity/postcode text; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"17","larald Jensens Gade I Kqs. Enqhave","Lauritz-Jensens Plads | J. E. Ohlensens Gade | Hiort Lorenzens Gade","","not captured per candidate in completed read-only audit","Kgs. Enghave","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"17","laraldsgade I Ydre Østerbro","Lærdalsgade | Kaalundsgade | Marstalsgade","","not captured per candidate in completed read-only audit","Ydre Østerbro","0.818","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"17","lardangergade I Indre Østerbro","Lagergade | Amagergade | Gartnergade","","not captured per candidate in completed read-only audit","Indre Østerbro","0.818","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"17","lareskowei 2700 I Brønshøi/Husum","Langeskovvej | Hareskovvej | Børskovvej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.741","audit status: rule_or_exception; possible range/parity/postcode text; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"17","lavekrogen I Vanløse","Lagunebroen | Solkrogen | Sundkrogen","","not captured per candidate in completed read-only audit","Vanløse","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"18","Heirevei Bispebierq","Hejrevej | Hejsvej | Jernvej","","not captured per candidate in completed read-only audit","Bispebjerg","0.750","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"18","leman Triers Plads I Indre Nørrebro","Lanternepladsen | Dantes Plads | Jarmers Plads","","not captured per candidate in completed read-only audit","Indre Nørrebro","0.710","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"18","lestemøllestræde I Indre By","Lavendelstræde | Svanemøllestranden | Pistolstræde","","not captured per candidate in completed read-only audit","Indre By","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"18","lildursaade I Ydre Nørrebro","Liflandsgade | Wildersgade | Baldersgade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.696","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"19","lolcks Plads I Brønshøi/Husum","Lossepladsvej | Balders Plads | Islands Plads","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.667","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"19","lolteqade I Ydre Nørrebro","Lillegade | Elmegade | Laks egade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"19","lombækgade I Ydre Nørrebro","Lybækgade | Holbækgade | Vedbækgade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.842","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"20","Hvidbieravei I Vanløse","Hvidbjergvej | Hvidkildevej | Hvidkløvervej","","not captured per candidate in completed read-only audit","Vanløse","0.750","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"20","lyskenstræde I Indre By","Lybækstræde | Læderstræde | Løngangstræde","","not captured per candidate in completed read-only audit","Indre By","0.783","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"20","løkerbodeme I Vesterbro","Løkkerenden | Slagterboderne | Kødboderne","","not captured per candidate in completed read-only audit","Vesterbro","0.696","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"22","Haveforeninger","Herninggade | Hf. Vestereng | Åvendingen","","not captured per candidate in completed read-only audit","","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"22","{f. Formosa I Amager","Formosavej | Hf. Formosa | F. F. Ulriks Gade","","not captured per candidate in completed read-only audit","Amager","0.778","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"25","Jernvej I Indre Østerbro","Lejrevej | Jernvej | Ehlersvej","","not captured per candidate in completed read-only audit","Indre Østerbro","0.800","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"26","Jæaersboraaade I Ydre Nørrebro","Jægersborggade | Aggersborggade | Flensborggade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.786","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"27","(ammas Have I Vesterbro","Åhaven | Kammasvej | Dagmarsgade","","not captured per candidate in completed read-only audit","Vesterbro","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"27","(anonbådsvei I Christianshavn","Annasvej | Sandbygårdsvej | Stengårdsvej","","not captured per candidate in completed read-only audit","Christianshavn","0.737","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"27","(arlstads Allé I Brønshøi/Husum","Ahrenkildes Allé | Præstegårds Allé | Floras Allé","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.667","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"27","(astanie Allé I Vanløse","Arnhem Alle | Langelinie Allé | Antonigade","","not captured per candidate in completed read-only audit","Vanløse","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"27","(astellet I Indre By","Askeskellet | Skellet | Marskellet","","not captured per candidate in completed read-only audit","Indre By","0.737","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"27","(atholmvei I Vanløse","Ålholmvej | Egholmvej | Hanstholmvej","","not captured per candidate in completed read-only audit","Vanløse","0.778","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"27","(atrinedalsvei I Vanløse","Astridsvej | Værnedamsvej | Arnesvej","","not captured per candidate in completed read-only audit","Vanløse","0.696","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"28","Kattinaevei I Brønshøj/Husum","Kattingevej | Baltikavej | Faksingevej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.818","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"28","(lintevei I Brønshøi/Husum","Lindevej | Flinterupvej | Ålekistevej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.750","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"28","(litmøllervei I Vanløse","Lille Tværvej | Oliemøllegade | Hf. Mellemvej","","not captured per candidate in completed read-only audit","Vanløse","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"28","(losterstræde I Indre By","Lodsstræde | Læderstræde | Bagerstræde","","not captured per candidate in completed read-only audit","Indre By","0.818","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"28","(nud Lavards Gade I Vesterbro","Nordlandsgade | Puggaardsgade | Studsgaardsgade","","not captured per candidate in completed read-only audit","Vesterbro","0.741","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"29","Kas. Nytorv I Indre Bv","Kongens Nytorv | Nytorv | Axeltorv","","not captured per candidate in completed read-only audit","Indre By","0.727","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"29","Kornerupvei I Brønshøj/Husum","Kornerupvej | Sonnerupvej | Flinterupvej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.909","audit status: rule_or_exception","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"29","Krauseparken I Indre Østerbro","Kantorparken | Amorparken | Ryparken","","not captured per candidate in completed read-only audit","Indre Østerbro","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"29","(rusåaade I Vesterbro","Røsågade | Rysegade | Upsalagade","","not captured per candidate in completed read-only audit","Vesterbro","0.750","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"31",".arsleisstræde I Indre By","Annexstræde | Larsbjørnsstræde | Pilestræde","","not captured per candidate in completed read-only audit","Indre By","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"32",".vdersvei I Indre Østerbro","Verdisvej | Lydersvej | Astersvej","","not captured per candidate in completed read-only audit","Indre Østerbro","0.706","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"34","nerløsevei I Brønshøi/Husum","Herslevvej | Merløsevej | Tersløsevej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.700","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"34","hidaårdsaade I Ydre Nørrebro","Hovgaardsgade | Midgårdsgade | Abildgaardsgade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.720","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"35","nønteraade I Indre Bv","Ny Østergade | Tøndergade | Østergade","","not captured per candidate in completed read-only audit","Indre By","0.762","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"36","ly Kongensgade I Indre By","Lille Kongensgade | Bergensgade | Fyensgade","","not captured per candidate in completed read-only audit","Indre By","0.828","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"37","lørre Farimaasaade I Indre By","Lille Farimagsgade | Øster Farimagsgade | Vester Farimagsgade","","not captured per candidate in completed read-only audit","Indre By","0.706","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"37","lørre Sideallé I Indre Nørrebro","Leiden Alle | Nørre Allé | Langelinie Allé","","not captured per candidate in completed read-only audit","Indre Nørrebro","0.783","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"38",")slo Plads I Indre Østerbro","Sylows Plads | Sifs Plads | Bangsbo Plads","","not captured per candidate in completed read-only audit","Indre Østerbro","0.842","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"38",")tto Mønsteds Plads I Indre By","Toftegårds Plads | Dantes Plads | Rungsted Plads","","not captured per candidate in completed read-only audit","Indre By","0.710","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"39","'eter Ibsens Allé Bispebiera","Ejler Billes Allé | Peter Ibsens Allé | Jernbane Allé","","not captured per candidate in completed read-only audit","Bispebjerg","0.645","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"41","Rahbeks Allé Uliae nr. Vesterbro","Rahbeks Allé | Absalonsgade | A. H. Vedels Plads","","not captured per candidate in completed read-only audit","Vesterbro","1.000","audit status: rule_or_exception; possible range/parity/postcode text","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"41","Qefshaleøen I Christianshavn","Refshalevej | Roshagevej | Svenskelejren","","not captured per candidate in completed read-only audit","Christianshavn","0.818","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"41","Qeanbuepladsen I Indre Bv","Regnbuepladsen | Rådhuspladsen | Bryghuspladsen","","not captured per candidate in completed read-only audit","Indre By","0.857","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"41","Qeventlowsaade I Vesterbro","Reventlowsgade | Stenosgade | Svendsgade","","not captured per candidate in completed read-only audit","Vesterbro","0.857","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"43","tønnebærvei I Vanløse","Tønnesvej | Rønnebærvej | Enebærvej","","not captured per candidate in completed read-only audit","Vanløse","0.700","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"43","Qørsanaervei I Bispebiera","Rørsangervej | Rørsangervænget | Kærsangervej","","not captured per candidate in completed read-only audit","Bispebjerg","0.833","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"43","Udmandsgade I Ydre Nørrebro","Uplandsgade | Rådmandsgade | Urbansgade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.818","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"44","*kaaerrakvei I Indre Østerbro","Kålagervej | Skagerrakvej | Nattergalevej","","not captured per candidate in completed read-only audit","Indre Østerbro","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"44","*kansebiera I Brønshøi/Husum","Kansager | Skansebjerg | Hanebred","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.667","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"45","*kytteaade I Indre Nørrebro","Krystalgade | Rysegade | Ryegade","","not captured per candidate in completed read-only audit","Indre Nørrebro","0.700","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"46","*oldalen I Rwana Øst","Oldensti | Soldalen | Voldfløjen","","not captured per candidate in completed read-only audit","Ryvang Øst","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"46","iolkroaen I Brønshøi/Husum","Ilbro Alle | Solkrogen | Sydkrogen","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.667","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
